State,PeopleAffected,Domain,ResourcesRequired,UrgencyReason,Timeline,Urgency,EstimatedCost
Karnataka,194,Education,Medicines,Seasonal Need,Within 1 week,Medium,5062.17
Gujarat,309,Shelter,Volunteers,Health Emergency,Within 1 week,Medium,2971.04
Telangana,136,Food,Food Kits,Seasonal Need,Immediate,Medium,1465.9
Bihar,716,Shelter,Funds,Health Emergency,Immediate,High,14460.19
Tamil Nadu,579,Disaster Relief,Volunteers,Health Emergency,Within 1 week,High,4962.94
Gujarat,48,Shelter,Volunteers,Community Emergency,Immediate,Low,361.63
Tamil Nadu,19,Employment,Beds/Shelter,Seasonal Need,Long term,Low,852.18
Andhra Pradesh,97,Food,Beds/Shelter,Disease Outbreak,Immediate,High,6471.89
Andhra Pradesh,270,Food,Medicines,Disease Outbreak,Within 1 week,High,5763.3
Maharashtra,105,Shelter,Beds/Shelter,Disease Outbreak,Immediate,High,9244.58
Delhi,85,Employment,Volunteers,Community Emergency,Within 1 week,Low,513.12
Delhi,483,Healthcare,Funds,Health Emergency,Immediate,Medium,9879.93
Andhra Pradesh,645,Healthcare,Food Kits,Health Emergency,Within 1 week,High,10949.21
Andhra Pradesh,27,Disaster Relief,Volunteers,Seasonal Need,Long term,Low,230.43
Bihar,58,Education,Food Kits,Community Emergency,Long term,Low,588.02
Telangana,82,Employment,Food Kits,Community Emergency,Immediate,Low,699.91
Telangana,475,Healthcare,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,5084.6
Delhi,104,Employment,Volunteers,Community Emergency,Immediate,Medium,586.17
Andhra Pradesh,144,Healthcare,Beds/Shelter,Seasonal Need,Within 1 week,Medium,14582.7
Telangana,56,Food,Beds/Shelter,Natural Disaster (Flood/Earthquake),Within 1 week,High,3462.58
Telangana,15582,Food,Food Kits,Natural Disaster (Flood/Earthquake),Within 1 week,High,173228.05
Tamil Nadu,848,Food,Beds/Shelter,Natural Disaster (Flood/Earthquake),Within 1 week,High,44466.96
Telangana,308,Food,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,8814.03
Delhi,2411,Food,Medicines,Natural Disaster (Flood/Earthquake),Within 1 week,High,55124.42
Telangana,178,Employment,Food Kits,Seasonal Need,Immediate,Medium,1494.52
Delhi,7,Healthcare,Food Kits,Community Emergency,Immediate,Low,134.53
Karnataka,166,Food,Food Kits,Community Emergency,Within 1 week,Medium,2222.41
Delhi,190,Healthcare,Volunteers,Seasonal Need,Immediate,Medium,2235.01
Tamil Nadu,262,Food,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,3787.96
Bihar,831,Disaster Relief,Medicines,Disease Outbreak,Immediate,High,29906.07
Tamil Nadu,453,Education,Beds/Shelter,Disease Outbreak,Within 1 week,High,21654.34
Gujarat,33,Healthcare,Food Kits,Community Emergency,Immediate,Low,597.62
Andhra Pradesh,26,Shelter,Funds,Community Emergency,Long term,Low,434.06
Tamil Nadu,635,Disaster Relief,Medicines,Disease Outbreak,Within 1 week,High,16055.4
Andhra Pradesh,486,Employment,Medicines,Natural Disaster (Flood/Earthquake),Long term,High,9504.13
Maharashtra,548,Education,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,3797.62
Tamil Nadu,119,Disaster Relief,Volunteers,Disease Outbreak,Within 1 week,High,1070.08
Maharashtra,371,Disaster Relief,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,24339.29
Bihar,823,Food,Beds/Shelter,Natural Disaster (Flood/Earthquake),Within 1 week,High,43720.78
Telangana,762,Disaster Relief,Food Kits,Disease Outbreak,Within 1 week,High,9306.6
Karnataka,265,Shelter,Medicines,Health Emergency,Within 1 week,Medium,7930.74
Karnataka,49,Education,Food Kits,Seasonal Need,Within 1 week,Low,530.3
Andhra Pradesh,195,Food,Food Kits,Seasonal Need,Immediate,Medium,2121.23
Andhra Pradesh,13,Employment,Medicines,Community Emergency,Within 1 week,Low,246.29
Gujarat,60,Education,Funds,Community Emergency,Within 1 week,Low,701.15
Bihar,240,Shelter,Volunteers,Natural Disaster (Flood/Earthquake),Long term,High,1886.61
Bihar,94,Shelter,Funds,Seasonal Need,Long term,Low,1425.58
Andhra Pradesh,108,Disaster Relief,Volunteers,Disease Outbreak,Immediate,High,1292.79
Karnataka,612,Employment,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,7045.87
Telangana,417,Employment,Medicines,Disease Outbreak,Long term,High,7776.42
Gujarat,170,Healthcare,Beds/Shelter,Disease Outbreak,Long term,High,15334.08
Karnataka,24,Disaster Relief,Food Kits,Seasonal Need,Immediate,Low,308.45
Andhra Pradesh,54,Employment,Beds/Shelter,Disease Outbreak,Within 1 week,High,2384.57
Telangana,108,Food,Food Kits,Seasonal Need,Long term,Medium,1177.35
Bihar,145,Food,Beds/Shelter,Seasonal Need,Long term,Medium,8473.57
Maharashtra,74,Employment,Volunteers,Seasonal Need,Within 1 week,Low,461.06
Gujarat,413,Shelter,Beds/Shelter,Disease Outbreak,Immediate,High,31498.69
Telangana,129,Disaster Relief,Volunteers,Disease Outbreak,Within 1 week,High,1226.98
Maharashtra,613,Food,Beds/Shelter,Disease Outbreak,Long term,High,35056.59
Tamil Nadu,21,Education,Volunteers,Seasonal Need,Within 1 week,Low,141.36
Maharashtra,590,Disaster Relief,Volunteers,Disease Outbreak,Long term,High,4931.18
Telangana,189,Shelter,Medicines,Natural Disaster (Flood/Earthquake),Long term,High,5273.41
Telangana,112,Disaster Relief,Medicines,Disease Outbreak,Immediate,High,4507.83
Gujarat,72,Education,Beds/Shelter,Seasonal Need,Long term,Low,3385.26
Maharashtra,788,Shelter,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,16014.07
Maharashtra,921,Healthcare,Volunteers,Health Emergency,Long term,High,10397.61
Andhra Pradesh,300,Disaster Relief,Volunteers,Disease Outbreak,Immediate,High,3319.62
Bihar,41,Employment,Food Kits,Seasonal Need,Long term,Low,406.89
Bihar,155,Shelter,Food Kits,Community Emergency,Within 1 week,Medium,2276.13
Bihar,106,Employment,Volunteers,Community Emergency,Within 1 week,Medium,741.82
Delhi,81,Disaster Relief,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,2974.46
Tamil Nadu,122,Healthcare,Funds,Community Emergency,Long term,Medium,2593.93
Gujarat,631,Food,Medicines,Health Emergency,Long term,High,14339.11
Delhi,90,Disaster Relief,Volunteers,Community Emergency,Immediate,Low,816.14
Delhi,113,Food,Food Kits,Community Emergency,Long term,Medium,1225.56
Maharashtra,540,Employment,Volunteers,Disease Outbreak,Immediate,High,4243.69
Andhra Pradesh,191,Disaster Relief,Volunteers,Disease Outbreak,Within 1 week,High,1647.96
Maharashtra,48,Healthcare,Beds/Shelter,Community Emergency,Immediate,Low,3886.44
Karnataka,494,Education,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,34184.52
Tamil Nadu,554,Disaster Relief,Medicines,Disease Outbreak,Within 1 week,High,16646.53
Andhra Pradesh,757,Disaster Relief,Beds/Shelter,Disease Outbreak,Within 1 week,High,45257.0
Bihar,126,Employment,Volunteers,Natural Disaster (Flood/Earthquake),Immediate,High,941.85
Maharashtra,703,Shelter,Funds,Disease Outbreak,Within 1 week,High,11280.66
Karnataka,880,Employment,Food Kits,Health Emergency,Long term,High,7153.73
Bihar,619,Education,Volunteers,Disease Outbreak,Immediate,High,5559.33
Tamil Nadu,960,Healthcare,Medicines,Disease Outbreak,Long term,High,33062.18
Andhra Pradesh,395,Employment,Food Kits,Natural Disaster (Flood/Earthquake),Long term,High,3722.56
Gujarat,13,Education,Volunteers,Community Emergency,Immediate,Low,94.7
Tamil Nadu,441,Disaster Relief,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,6837.97
Delhi,475,Healthcare,Volunteers,Health Emergency,Within 1 week,Medium,6199.93
Bihar,834,Employment,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,39749.56
Karnataka,510,Education,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,23413.24
Telangana,913,Employment,Food Kits,Health Emergency,Immediate,High,10058.4
Andhra Pradesh,854,Employment,Food Kits,Disease Outbreak,Long term,High,7652.74
Karnataka,598,Food,Funds,Health Emergency,Within 1 week,High,8747.62
Delhi,987,Employment,Volunteers,Disease Outbreak,Within 1 week,High,5836.86
Tamil Nadu,79,Shelter,Beds/Shelter,Seasonal Need,Long term,Low,4752.83
Telangana,198,Healthcare,Medicines,Seasonal Need,Within 1 week,Medium,8678.92
Karnataka,905,Education,Food Kits,Disease Outbreak,Within 1 week,High,8209.46
Tamil Nadu,550,Shelter,Beds/Shelter,Health Emergency,Immediate,High,44292.79
Bihar,2,Shelter,Volunteers,Seasonal Need,Long term,Low,17.26
Tamil Nadu,374,Shelter,Food Kits,Health Emergency,Immediate,Medium,4166.04
Gujarat,70,Education,Funds,Seasonal Need,Long term,Low,874.88
Maharashtra,917,Education,Beds/Shelter,Disease Outbreak,Long term,High,48802.84
Andhra Pradesh,452,Education,Volunteers,Natural Disaster (Flood/Earthquake),Long term,High,2871.03
Karnataka,525,Healthcare,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,60384.96
Karnataka,22,Disaster Relief,Volunteers,Community Emergency,Within 1 week,Low,190.61
Andhra Pradesh,68,Shelter,Volunteers,Health Emergency,Immediate,Low,533.76
Maharashtra,59,Employment,Medicines,Community Emergency,Immediate,Low,1131.83
Telangana,777,Food,Funds,Disease Outbreak,Within 1 week,High,10108.82
Tamil Nadu,930,Education,Volunteers,Health Emergency,Within 1 week,High,6407.47
Telangana,656,Employment,Food Kits,Natural Disaster (Flood/Earthquake),Immediate,High,7662.69
Telangana,756,Employment,Funds,Natural Disaster (Flood/Earthquake),Long term,High,7963.26
Maharashtra,94,Shelter,Beds/Shelter,Community Emergency,Immediate,Low,5478.33
Bihar,558,Shelter,Volunteers,Disease Outbreak,Immediate,High,5830.45
Delhi,603,Employment,Volunteers,Disease Outbreak,Long term,High,3886.33
Bihar,160,Food,Medicines,Natural Disaster (Flood/Earthquake),Within 1 week,High,4023.77
Telangana,16,Disaster Relief,Beds/Shelter,Community Emergency,Within 1 week,Low,1088.39
Andhra Pradesh,51,Healthcare,Food Kits,Seasonal Need,Long term,Low,930.13
Telangana,365,Food,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,25644.76
Tamil Nadu,135,Food,Volunteers,Seasonal Need,Long term,Medium,952.06
Delhi,53,Healthcare,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,2394.24
Bihar,652,Employment,Volunteers,Health Emergency,Immediate,High,4678.34
Maharashtra,547,Food,Food Kits,Health Emergency,Within 1 week,High,5776.58
Bihar,432,Employment,Food Kits,Disease Outbreak,Within 1 week,High,3489.68
Andhra Pradesh,33,Healthcare,Food Kits,Seasonal Need,Immediate,Low,574.29
Andhra Pradesh,80,Employment,Volunteers,Health Emergency,Within 1 week,Low,474.38
Telangana,26,Employment,Volunteers,Seasonal Need,Within 1 week,Low,154.5
Karnataka,73,Healthcare,Beds/Shelter,Disease Outbreak,Long term,High,6666.49
Telangana,85,Food,Medicines,Disease Outbreak,Immediate,High,2635.34
Maharashtra,23,Education,Food Kits,Community Emergency,Within 1 week,Low,260.59
Karnataka,459,Employment,Funds,Disease Outbreak,Long term,High,5565.52
Tamil Nadu,117,Disaster Relief,Volunteers,Seasonal Need,Long term,Medium,1158.02
Andhra Pradesh,126,Shelter,Medicines,Community Emergency,Long term,Medium,3058.16
Andhra Pradesh,722,Disaster Relief,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,48182.32
Telangana,121,Education,Food Kits,Seasonal Need,Long term,Medium,1115.23
Andhra Pradesh,99,Shelter,Medicines,Natural Disaster (Flood/Earthquake),Long term,High,2740.2
Maharashtra,428,Shelter,Beds/Shelter,Health Emergency,Long term,Medium,28342.78
Tamil Nadu,983,Education,Food Kits,Disease Outbreak,Immediate,High,12879.54
Karnataka,115,Education,Food Kits,Disease Outbreak,Within 1 week,High,1183.74
Gujarat,154,Shelter,Medicines,Natural Disaster (Flood/Earthquake),Long term,High,3824.4
Andhra Pradesh,272,Healthcare,Beds/Shelter,Disease Outbreak,Long term,High,23877.42
Bihar,233,Food,Food Kits,Health Emergency,Immediate,Medium,2356.97
Delhi,969,Disaster Relief,Funds,Disease Outbreak,Immediate,High,19963.2
Tamil Nadu,843,Employment,Funds,Disease Outbreak,Within 1 week,High,9206.05
Telangana,130,Disaster Relief,Beds/Shelter,Health Emergency,Long term,Medium,8435.56
Gujarat,394,Healthcare,Medicines,Health Emergency,Immediate,Medium,12444.9
Tamil Nadu,280,Healthcare,Medicines,Disease Outbreak,Within 1 week,High,10050.79
Telangana,73,Education,Food Kits,Seasonal Need,Immediate,Low,745.77
Telangana,934,Shelter,Beds/Shelter,Disease Outbreak,Long term,High,50705.83
Maharashtra,109,Shelter,Funds,Community Emergency,Long term,Medium,1520.22
Gujarat,167,Shelter,Volunteers,Health Emergency,Immediate,Medium,1314.41
Gujarat,175,Food,Medicines,Disease Outbreak,Immediate,High,5685.01
Telangana,159,Food,Food Kits,Seasonal Need,Immediate,Medium,1685.26
Delhi,477,Healthcare,Volunteers,Disease Outbreak,Immediate,High,7495.86
Maharashtra,105,Food,Beds/Shelter,Seasonal Need,Within 1 week,Medium,6891.11
Bihar,53,Disaster Relief,Food Kits,Seasonal Need,Long term,Low,759.22
Karnataka,298,Education,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,3889.55
Delhi,752,Shelter,Funds,Health Emergency,Immediate,High,13823.82
Andhra Pradesh,246,Employment,Medicines,Natural Disaster (Flood/Earthquake),Within 1 week,High,4586.28
Maharashtra,106,Disaster Relief,Food Kits,Seasonal Need,Long term,Medium,1503.74
Bihar,209,Disaster Relief,Beds/Shelter,Natural Disaster (Flood/Earthquake),Within 1 week,High,14041.41
Tamil Nadu,120,Shelter,Volunteers,Community Emergency,Immediate,Medium,1016.51
Karnataka,26,Food,Medicines,Community Emergency,Within 1 week,Low,659.97
Karnataka,151,Healthcare,Beds/Shelter,Seasonal Need,Long term,Medium,13385.93
Andhra Pradesh,2,Shelter,Volunteers,Seasonal Need,Immediate,Low,17.62
Bihar,739,Education,Food Kits,Disease Outbreak,Long term,High,7106.9
Andhra Pradesh,164,Disaster Relief,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,3514.58
Bihar,170,Employment,Volunteers,Community Emergency,Immediate,Medium,1020.83
Tamil Nadu,11,Education,Medicines,Seasonal Need,Immediate,Low,224.28
Karnataka,172,Healthcare,Medicines,Disease Outbreak,Within 1 week,High,5542.6
Maharashtra,62,Shelter,Volunteers,Seasonal Need,Immediate,Low,524.08
Bihar,156,Shelter,Beds/Shelter,Community Emergency,Within 1 week,Medium,10185.85
Delhi,656,Food,Volunteers,Disease Outbreak,Immediate,High,5730.89
Tamil Nadu,38,Employment,Food Kits,Seasonal Need,Immediate,Low,377.8
Bihar,185,Employment,Funds,Seasonal Need,Within 1 week,Medium,2382.49
Delhi,133,Healthcare,Beds/Shelter,Health Emergency,Long term,Medium,11693.02
Maharashtra,689,Disaster Relief,Beds/Shelter,Disease Outbreak,Within 1 week,High,48892.49
Telangana,28,Disaster Relief,Food Kits,Seasonal Need,Within 1 week,Low,389.35
Tamil Nadu,915,Employment,Volunteers,Natural Disaster (Flood/Earthquake),Immediate,High,6541.02
Delhi,441,Employment,Food Kits,Disease Outbreak,Within 1 week,High,3623.19
Tamil Nadu,301,Disaster Relief,Volunteers,Health Emergency,Long term,Medium,2910.24
Gujarat,47,Disaster Relief,Volunteers,Community Emergency,Long term,Low,397.67
Telangana,840,Education,Funds,Health Emergency,Immediate,High,14424.4
Bihar,163,Employment,Food Kits,Community Emergency,Within 1 week,Medium,1566.03
Delhi,569,Disaster Relief,Beds/Shelter,Natural Disaster (Flood/Earthquake),Within 1 week,High,37920.58
Telangana,173,Disaster Relief,Medicines,Community Emergency,Within 1 week,Medium,5561.32
Delhi,954,Disaster Relief,Funds,Natural Disaster (Flood/Earthquake),Long term,High,15546.07
Tamil Nadu,265,Healthcare,Funds,Disease Outbreak,Long term,High,5723.73
Andhra Pradesh,545,Disaster Relief,Medicines,Health Emergency,Long term,High,13667.64
Delhi,722,Education,Volunteers,Disease Outbreak,Within 1 week,High,4842.23
Karnataka,335,Disaster Relief,Food Kits,Natural Disaster (Flood/Earthquake),Long term,High,4209.26
Andhra Pradesh,167,Shelter,Beds/Shelter,Community Emergency,Long term,Medium,9883.33
Karnataka,74,Education,Volunteers,Health Emergency,Immediate,Low,543.51
Maharashtra,127,Disaster Relief,Volunteers,Community Emergency,Within 1 week,Medium,1270.68
Bihar,181,Shelter,Volunteers,Disease Outbreak,Within 1 week,High,1555.34
Gujarat,529,Shelter,Funds,Natural Disaster (Flood/Earthquake),Long term,High,7556.42
Tamil Nadu,237,Food,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,1844.4
Maharashtra,151,Education,Beds/Shelter,Disease Outbreak,Within 1 week,High,7322.73
Telangana,740,Food,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,13254.9
Delhi,726,Education,Beds/Shelter,Health Emergency,Immediate,High,44175.83
Karnataka,156,Employment,Beds/Shelter,Seasonal Need,Within 1 week,Medium,7263.92
Maharashtra,756,Healthcare,Funds,Health Emergency,Within 1 week,High,14253.37
Andhra Pradesh,642,Healthcare,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,30546.54
Andhra Pradesh,81,Healthcare,Volunteers,Community Emergency,Within 1 week,Low,979.79
Bihar,197,Education,Volunteers,Community Emergency,Immediate,Medium,1408.23
Gujarat,184,Food,Beds/Shelter,Health Emergency,Within 1 week,Medium,10655.33
Bihar,633,Employment,Beds/Shelter,Disease Outbreak,Long term,High,29357.27
Telangana,4,Food,Beds/Shelter,Seasonal Need,Within 1 week,Low,211.55
Bihar,191,Shelter,Funds,Seasonal Need,Long term,Medium,3025.2
Maharashtra,898,Shelter,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,65701.15
Delhi,1477,Healthcare,Food Kits,Natural Disaster (Flood/Earthquake),Within 1 week,High,26054.37
Gujarat,137,Shelter,Food Kits,Community Emergency,Within 1 week,Medium,1869.68
Maharashtra,946,Healthcare,Volunteers,Disease Outbreak,Immediate,High,12607.42
Andhra Pradesh,310,Food,Food Kits,Natural Disaster (Flood/Earthquake),Long term,High,3377.76
Gujarat,46,Employment,Medicines,Seasonal Need,Long term,Low,928.65
Bihar,867,Disaster Relief,Funds,Natural Disaster (Flood/Earthquake),Long term,High,15041.64
Bihar,105,Education,Volunteers,Community Emergency,Long term,Medium,719.24
Telangana,151,Shelter,Medicines,Health Emergency,Within 1 week,Medium,4286.19
Gujarat,412,Healthcare,Medicines,Health Emergency,Immediate,Medium,13727.64
Maharashtra,198,Food,Food Kits,Seasonal Need,Long term,Medium,2015.21
Telangana,639,Education,Funds,Health Emergency,Within 1 week,High,8591.72
Delhi,3489,Shelter,Medicines,Health Emergency,Within 1 week,High,77589.12
Tamil Nadu,446,Education,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,5939.26
Andhra Pradesh,146,Shelter,Volunteers,Seasonal Need,Within 1 week,Medium,1425.39
Gujarat,632,Disaster Relief,Medicines,Health Emergency,Immediate,High,20381.11
Telangana,46,Healthcare,Beds/Shelter,Seasonal Need,Immediate,Low,3935.54
Karnataka,137,Shelter,Food Kits,Seasonal Need,Immediate,Medium,1587.3
Telangana,161,Employment,Funds,Community Emergency,Immediate,Medium,1773.18
Andhra Pradesh,332,Disaster Relief,Food Kits,Health Emergency,Long term,Medium,4141.12
Bihar,262,Disaster Relief,Funds,Natural Disaster (Flood/Earthquake),Within 1 week,High,4650.57
Karnataka,798,Employment,Funds,Disease Outbreak,Long term,High,9284.07
Tamil Nadu,13,Employment,Volunteers,Community Emergency,Within 1 week,Low,75.54
Andhra Pradesh,711,Employment,Volunteers,Natural Disaster (Flood/Earthquake),Within 1 week,High,4487.09
Maharashtra,811,Shelter,Funds,Disease Outbreak,Long term,High,13202.18
Karnataka,923,Shelter,Food Kits,Health Emergency,Immediate,High,13267.45
Maharashtra,72,Shelter,Medicines,Seasonal Need,Within 1 week,Low,1932.81
Gujarat,477,Healthcare,Beds/Shelter,Natural Disaster (Flood/Earthquake),Immediate,High,50157.08
Delhi,358,Food,Volunteers,Health Emergency,Long term,Medium,2872.79
Maharashtra,963,Shelter,Food Kits,Disease Outbreak,Long term,High,11199.2
Delhi,185,Food,Food Kits,Community Emergency,Long term,Medium,1966.55
Maharashtra,163,Employment,Medicines,Community Emergency,Immediate,Medium,2784.7
Telangana,149,Healthcare,Medicines,Seasonal Need,Long term,Medium,5255.11
Karnataka,63,Shelter,Food Kits,Community Emergency,Immediate,Low,857.57
Bihar,100,Employment,Volunteers,Community Emergency,Immediate,Low,620.08
Telangana,676,Disaster Relief,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,47179.84
Tamil Nadu,199,Disaster Relief,Funds,Community Emergency,Long term,Medium,3595.72
Delhi,115,Food,Food Kits,Community Emergency,Long term,Medium,1418.06
Karnataka,165,Disaster Relief,Beds/Shelter,Community Emergency,Within 1 week,Medium,12793.45
Andhra Pradesh,682,Employment,Funds,Health Emergency,Within 1 week,High,7544.68
Gujarat,175,Food,Volunteers,Community Emergency,Immediate,Medium,1342.67
Gujarat,760,Employment,Food Kits,Health Emergency,Long term,High,6937.51
Karnataka,98,Healthcare,Beds/Shelter,Community Emergency,Within 1 week,Low,9035.2
Gujarat,873,Employment,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,40648.68
Telangana,757,Shelter,Food Kits,Disease Outbreak,Immediate,High,12162.49
Delhi,300,Shelter,Volunteers,Health Emergency,Immediate,Medium,2268.13
Tamil Nadu,102,Shelter,Volunteers,Seasonal Need,Within 1 week,Medium,906.28
Maharashtra,130,Disaster Relief,Beds/Shelter,Seasonal Need,Long term,Medium,9394.56
Gujarat,411,Education,Beds/Shelter,Disease Outbreak,Within 1 week,High,19782.3
Karnataka,940,Education,Volunteers,Health Emergency,Long term,High,6129.53
Gujarat,138,Education,Volunteers,Seasonal Need,Within 1 week,Medium,1112.55
Gujarat,123,Employment,Food Kits,Disease Outbreak,Within 1 week,High,1028.05
Andhra Pradesh,71,Employment,Funds,Community Emergency,Immediate,Low,809.15
Bihar,636,Education,Medicines,Disease Outbreak,Immediate,High,16331.97
Andhra Pradesh,116,Food,Volunteers,Seasonal Need,Immediate,Medium,871.5
Tamil Nadu,131,Education,Volunteers,Seasonal Need,Long term,Medium,813.11
Tamil Nadu,923,Shelter,Volunteers,Natural Disaster (Flood/Earthquake),Immediate,High,9815.55
Karnataka,99,Disaster Relief,Beds/Shelter,Community Emergency,Within 1 week,Low,7342.05
Tamil Nadu,117,Education,Medicines,Seasonal Need,Immediate,Medium,2558.45
Andhra Pradesh,69,Employment,Volunteers,Community Emergency,Long term,Low,405.54
Telangana,977,Shelter,Volunteers,Disease Outbreak,Within 1 week,High,8322.96
Karnataka,148,Education,Food Kits,Community Emergency,Within 1 week,Medium,1831.15
Maharashtra,170,Education,Beds/Shelter,Community Emergency,Long term,Medium,8347.35
Gujarat,499,Food,Beds/Shelter,Health Emergency,Long term,Medium,29982.83
Karnataka,129,Employment,Beds/Shelter,Natural Disaster (Flood/Earthquake),Long term,High,5689.65
Maharashtra,202,Disaster Relief,Funds,Disease Outbreak,Immediate,High,4497.65
Andhra Pradesh,164,Shelter,Medicines,Disease Outbreak,Within 1 week,High,4342.08
Andhra Pradesh,590,Healthcare,Food Kits,Natural Disaster (Flood/Earthquake),Long term,High,9905.07
Bihar,7734,Food,Volunteers,Disease Outbreak,Immediate,High,69075.03
Bihar,60,Shelter,Food Kits,Seasonal Need,Long term,Low,685.36
Maharashtra,453,Shelter,Volunteers,Health Emergency,Long term,Medium,4023.85
Bihar,1000,Shelter,Funds,Disease Outbreak,Immediate,High,19500.48
Tamil Nadu,162,Healthcare,Funds,Natural Disaster (Flood/Earthquake),Long term,High,3514.89
Delhi,94,Healthcare,Volunteers,Seasonal Need,Long term,Low,971.94
Gujarat,145,Disaster Relief,Food Kits,Seasonal Need,Immediate,Medium,2100.28
Gujarat,10,Food,Beds/Shelter,Seasonal Need,Long term,Low,555.05
Andhra Pradesh,5,Shelter,Volunteers,Seasonal Need,Immediate,Low,47.03
Andhra Pradesh,176,Employment,Beds/Shelter,Seasonal Need,Immediate,Medium,8540.84
Telangana,103,Employment,Medicines,Seasonal Need,Within 1 week,Medium,2105.06
Delhi,647,Healthcare,Food Kits,Disease Outbreak,Long term,High,10092.69
Telangana,786,Education,Funds,Health Emergency,Long term,High,10281.09
Tamil Nadu,874,Education,Food Kits,Natural Disaster (Flood/Earthquake),Within 1 week,High,7939.69
Delhi,75,Food,Volunteers,Community Emergency,Within 1 week,Low,602.47
Maharashtra,212,Shelter,Funds,Disease Outbreak,Immediate,High,3933.98
Maharashtra,125,Healthcare,Volunteers,Community Emergency,Within 1 week,Medium,1479.2
Gujarat,31,Food,Medicines,Community Emergency,Immediate,Low,762.45
Bihar,98,Shelter,Food Kits,Health Emergency,Within 1 week,Low,1317.86
Telangana,595,Education,Volunteers,Disease Outbreak,Long term,High,3666.08
Karnataka,224,Disaster Relief,Medicines,Natural Disaster (Flood/Earthquake),Immediate,High,7918.3
Tamil Nadu,147,Food,Beds/Shelter,Seasonal Need,Immediate,Medium,8228.62
Bihar,198,Shelter,Volunteers,Community Emergency,Long term,Medium,1696.81
Telangana,193,Employment,Food Kits,Seasonal Need,Within 1 week,Medium,1872.06
Andhra Pradesh,268,Employment,Funds,Disease Outbreak,Long term,High,2688.97
Andhra Pradesh,392,Food,Funds,Disease Outbreak,Immediate,High,6484.43
Telangana,566,Education,Funds,Disease Outbreak,Long term,High,7633.75
Andhra Pradesh,797,Education,Funds,Disease Outbreak,Immediate,High,11655.02
Bihar,306,Shelter,Volunteers,Natural Disaster (Flood/Earthquake),Immediate,High,2924.46
Telangana,265,Food,Volunteers,Natural Disaster (Flood/Earthquake),Long term,High,2024.78
Delhi,264,Food,Funds,Health Emergency,Immediate,Medium,3783.73
Tamil Nadu,129,Disaster Relief,Volunteers,Seasonal Need,Immediate,Medium,1123.71
Telangana,61,Food,Funds,Seasonal Need,Within 1 week,Low,932.65
Delhi,346,Healthcare,Beds/Shelter,Disease Outbreak,Long term,High,27370.82
Andhra Pradesh,107,Healthcare,Funds,Seasonal Need,Within 1 week,Medium,2814.15
Maharashtra,902,Employment,Medicines,Health Emergency,Long term,High,17441.46
Bihar,46,Food,Volunteers,Seasonal Need,Within 1 week,Low,325.54
Tamil Nadu,29,Disaster Relief,Medicines,Seasonal Need,Within 1 week,Low,891.5
Karnataka,831,Disaster Relief,Funds,Natural Disaster (Flood/Earthquake),Immediate,High,18180.05
Delhi,31,Shelter,Beds/Shelter,Seasonal Need,Immediate,Low,2120.43
Gujarat,7,Education,Beds/Shelter,Seasonal Need,Long term,Low,354.14
Tamil Nadu,61,Shelter,Food Kits,Community Emergency,Immediate,Low,836.38
Karnataka,400,Shelter,Volunteers,Health Emergency,Long term,Medium,3261.48
Gujarat,197,Food,Funds,Health Emergency,Long term,Medium,2874.36
Tamil Nadu,3,Shelter,Medicines,Seasonal Need,Within 1 week,Low,78.86
Bihar,126,Food,Funds,Community Emergency,Immediate,Medium,1831.28
Gujarat,8,Education,Food Kits,Seasonal Need,Long term,Low,86.63
Tamil Nadu,34,Employment,Volunteers,Community Emergency,Within 1 week,Low,215.49
Telangana,346,Education,Volunteers,Health Emergency,Immediate,Medium,2466.33
Delhi,444,Education,Funds,Disease Outbreak,Immediate,High,6709.97
Maharashtra,37,Education,Beds/Shelter,Seasonal Need,Long term,Low,1807.45
